"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8298","Navigate to Google login window","","Fri Sep 05 15:32:12 IST 2025","passed","Fri Sep 05 15:32:20 IST 2025","","Validate Google login flow","Navigate to Google login window",""
"","8","No Search Results Found","","Fri Sep 05 15:32:38 IST 2025","passed","Fri Sep 05 15:32:38 IST 2025","","Used Cars details","No Search Results Found",""
"","11930","User launches ZigWheels homepage","","Fri Sep 05 15:31:48 IST 2025","passed","Fri Sep 05 15:32:00 IST 2025","","Honda Bikes Details","User launches ZigWheels homepage",""
"","494","Filtering Popular Models","","Fri Sep 05 15:32:38 IST 2025","passed","Fri Sep 05 15:32:39 IST 2025","","Used Cars details","Filtering Popular Models",""
"","10655","Searching for Used Cars in Chennai","","Fri Sep 05 15:32:27 IST 2025","passed","Fri Sep 05 15:32:38 IST 2025","","Used Cars details","Searching for Used Cars in Chennai",""
"","2052","Display all bikes from search results","","Fri Sep 05 15:32:09 IST 2025","passed","Fri Sep 05 15:32:11 IST 2025","","Honda Bikes Details","Display all bikes from search results",""
"","6128","Validate email error message","","Fri Sep 05 15:32:21 IST 2025","passed","Fri Sep 05 15:32:27 IST 2025","","Validate Google login flow","Validate email error message",""
"","1303","Display Honda bikes under 4 lacs","","Fri Sep 05 15:32:11 IST 2025","passed","Fri Sep 05 15:32:12 IST 2025","","Honda Bikes Details","Display Honda bikes under 4 lacs",""
"","725","User logins through Google his/her Google Account","","Fri Sep 05 15:32:20 IST 2025","passed","Fri Sep 05 15:32:21 IST 2025","","Validate Google login flow","User logins through Google his/her Google Account",""
"","8249","User searches for upcoming Honda bikes","","Fri Sep 05 15:32:00 IST 2025","passed","Fri Sep 05 15:32:09 IST 2025","","Honda Bikes Details","User searches for upcoming Honda bikes",""
